freq,peaks,ttpos,twpos,polar
30000000,37.8,0,150,0
40020413.21,41.9,360,150,0
49980823.95,41.1,360,150,0
60001237.16,38.2,360,150,0
70021650.38,34.9,0,150,0
79997064,34.9,0,150,0
89997477,34.9,0,150,0
100022887.5,36.3,344,150,0
150004948.7,50.8,195,150,0
199987009.8,59.1,188,150,0
250029073.4,65.5,359,150,0
300011134.5,67.1,360,150,0
349993195.6,66.2,360,150,0
400035259.2,65.8,23,150,0
450017320.3,63.8,211,150,0
499999381.4,63.4,223,150,0
549981442.5,64.3,145,150,0
600023506.1,62.4,188,150,0
650005567.2,62,185,150,0
699987628.4,58.4,166,150,0
750029691.9,57.8,187,150,0
800011753.1,56.2,360,150,0
849993814.2,56.9,345,150,0
900035877.8,55.1,349,150,0
950017938.9,54.3,345,150,0
1000000000,52.2,208,150,0
