freq,peaks,ttpos,twpos,polar
30000000,40,0,150,1
40020413.21,40,0,150,1
50040826.43,42.8,0,150,1
60001237.16,40.3,0,150,1
70021650.38,38.8,0,150,1
79982061.12,39.8,0,150,1
90002474.33,40.4,0,150,1
100022887.5,43.7,0,150,1
150004948.7,51,0,150,1
199987009.8,58.3,0,150,1
250029073.4,62.7,0,150,1
300011134.5,63.9,0,150,1
349993195.6,63.7,0,150,1
400035259.2,66.8,0,150,1
450017320.3,65.9,0,150,1
499999381.4,64.3,0,150,1
549981442.5,65.5,0,150,1
600023506.1,65.1,0,150,1
650005567.2,64.8,0,150,1
699987628.4,62.9,0,150,1
750029691.9,63.5,0,150,1
800011753.1,60.4,0,150,1
849993814.2,57,0,150,1
900035877.8,56.1,0,150,1
950017938.9,55.8,0,150,1
1000000000,54.1,0,150,1
